algo,regime,steps_or_episodes,race_time_mean,race_time_std,crashes_mean,crashes_std,catastrophic_mean,catastrophic_std,pitstops_mean,pitstops_std
a2c,rulebook,50k,3259.927225726898,,0.76,,0.08,,0.04,
a2c,safe,50k,3264.2478066395856,,0.82,,0.14,,0.0,
a2c,unconstrained,50k,1749.3065633000654,,0.96,,0.32,,0.0,
dqn,rulebook,50k,3863.5921741333295,,0.48,,0.04,,1.8,
dqn,safe,50k,2780.336427673186,,0.84,,0.04,,0.0,
dqn,unconstrained,50k,1749.3065633000654,,0.96,,0.32,,0.0,
ppo,rulebook,50k,3052.1154672548982,,0.76,,0.08,,0.0,
ppo,safe,50k,3375.376193056238,,0.78,,0.06,,0.0,
ppo,unconstrained,50k,1749.3089047204776,,0.96,,0.32,,0.0,
reinforce,rulebook,200ep,4178.991633272796,,0.48,,0.04,,19.26,
reinforce,safe,200ep,3584.8694880164467,,0.64,,0.1,,15.32,
reinforce,unconstrained,200ep,3700.3375627275377,,0.6,,0.04,,16.52,
sarsa,rulebook,50k,2185.6699074908647,,0.94,,0.22,,0.0,
sarsa,safe,50k,3320.116079499821,,0.74,,0.06,,0.0,
sarsa,unconstrained,50k,2106.72306683427,,0.84,,0.24,,1.94,
