algo,regime,seed,feature,mean_abs_shap
a2c,rulebook,0,s_2,0.0571829355537517
a2c,rulebook,0,s_5,0.0551174060939566
a2c,rulebook,0,s_0,0.0485533660480382
a2c,rulebook,0,s_6,0.0329860378713944
a2c,rulebook,0,s_1,0.0259852294881453
a2c,rulebook,0,s_16,0.0191078289482251
a2c,rulebook,0,s_12,0.0124035301349046
a2c,rulebook,0,s_11,0.0104352104142493
a2c,rulebook,0,s_17,0.0082797361682759
a2c,rulebook,0,s_7,0.0036451981322829
a2c,rulebook,0,s_8,0.0030695648448057
a2c,rulebook,0,s_10,0.0024035821396353
a2c,rulebook,0,s_13,0.0
a2c,rulebook,0,s_14,0.0
a2c,rulebook,0,s_15,0.0
a2c,rulebook,0,s_3,0.0
a2c,rulebook,0,s_4,0.0
a2c,rulebook,0,s_9,0.0
a2c,safe,0,s_7,0.038481731180301
a2c,safe,0,s_0,0.0275580133179544
a2c,safe,0,s_1,0.0260417468183409
a2c,safe,0,s_5,0.0210258722158619
a2c,safe,0,s_16,0.0203343825282993
a2c,safe,0,s_2,0.0143283886085373
a2c,safe,0,s_6,0.0076668839253424
a2c,safe,0,s_8,0.0056914783315839
a2c,safe,0,s_10,0.0048127396739612
a2c,safe,0,s_11,0.0
a2c,safe,0,s_12,0.0
a2c,safe,0,s_13,0.0
a2c,safe,0,s_14,0.0
a2c,safe,0,s_15,0.0
a2c,safe,0,s_17,0.0
a2c,safe,0,s_3,0.0
a2c,safe,0,s_4,0.0
a2c,safe,0,s_9,0.0
a2c,unconstrained,0,s_5,0.0545431394008639
a2c,unconstrained,0,s_6,0.0463379898287604
a2c,unconstrained,0,s_7,0.0306101386050905
a2c,unconstrained,0,s_0,0.0275687982614861
a2c,unconstrained,0,s_16,0.0263250156393065
a2c,unconstrained,0,s_1,0.0216838773732438
a2c,unconstrained,0,s_8,0.0064858904675108
a2c,unconstrained,0,s_10,0.0064830369894494
a2c,unconstrained,0,s_2,0.0002759070986506
a2c,unconstrained,0,s_11,0.0
a2c,unconstrained,0,s_12,0.0
a2c,unconstrained,0,s_13,0.0
a2c,unconstrained,0,s_14,0.0
a2c,unconstrained,0,s_15,0.0
a2c,unconstrained,0,s_17,0.0
a2c,unconstrained,0,s_3,0.0
a2c,unconstrained,0,s_4,0.0
a2c,unconstrained,0,s_9,0.0
dqn,rulebook,0,s_0,0.3516285794629673
dqn,rulebook,0,s_7,0.3137221199800367
dqn,rulebook,0,s_1,0.3010329288287983
dqn,rulebook,0,s_5,0.2872386009542744
dqn,rulebook,0,s_6,0.2441178062714175
dqn,rulebook,0,s_17,0.2200778933961471
dqn,rulebook,0,s_2,0.1235475066378335
dqn,rulebook,0,s_16,0.1228425814977907
dqn,rulebook,0,s_8,0.0646177340114603
dqn,rulebook,0,s_10,0.0587222607863159
dqn,rulebook,0,s_11,0.0
dqn,rulebook,0,s_12,0.0
dqn,rulebook,0,s_13,0.0
dqn,rulebook,0,s_14,0.0
dqn,rulebook,0,s_15,0.0
dqn,rulebook,0,s_3,0.0
dqn,rulebook,0,s_4,0.0
dqn,rulebook,0,s_9,0.0
dqn,safe,0,s_7,0.3055888351014195
dqn,safe,0,s_16,0.2841380797248823
dqn,safe,0,s_6,0.2788206336874929
dqn,safe,0,s_2,0.2278821232882678
dqn,safe,0,s_5,0.2207906057594138
dqn,safe,0,s_0,0.2027128649269695
dqn,safe,0,s_1,0.1983056382395553
dqn,safe,0,s_8,0.0173037616113527
dqn,safe,0,s_10,0.0142665418884864
