regime,feature,mean_abs_shap
rulebook,s_0,0.11308323681683408
rulebook,s_7,0.0928689435851625
rulebook,s_1,0.09057946132718914
rulebook,s_6,0.09031282911040152
rulebook,s_5,0.07408598977007583
rulebook,s_16,0.059430441672256265
rulebook,s_2,0.05311740823432196
rulebook,s_17,0.0457164804436269
rulebook,s_8,0.01743962770720792
rulebook,s_10,0.016752257218609
rulebook,s_15,0.008708857173357119
rulebook,s_14,0.00668687673652326
rulebook,s_12,0.00503148012340786
rulebook,s_11,0.0050180058730635
rulebook,s_13,0.0008181231838046201
rulebook,s_3,0.0
rulebook,s_4,0.0
rulebook,s_9,0.0
safe,s_7,0.11023508508194228
safe,s_2,0.08036783153668976
safe,s_16,0.08003382164912116
safe,s_6,0.06891147242842854
safe,s_5,0.06257439981477651
safe,s_0,0.0593341044661592
safe,s_1,0.05535673133641056
safe,s_15,0.009082197412951059
safe,s_8,0.006297047557074021
safe,s_10,0.0053208914213732595
safe,s_12,0.0050563250558383
safe,s_14,0.0031993476139119403
safe,s_17,0.00301462937864102
safe,s_13,0.0009711756188192399
safe,s_11,0.0
safe,s_3,0.0
safe,s_4,0.0
safe,s_9,0.0
unconstrained,s_7,0.1706497738491705
unconstrained,s_12,0.16724329927958254
unconstrained,s_6,0.14890133645933876
unconstrained,s_11,0.14809519076325312
unconstrained,s_0,0.13093270629284398
unconstrained,s_1,0.11844051638681696
unconstrained,s_5,0.11701354116767768
unconstrained,s_16,0.11520349670466117
unconstrained,s_17,0.08102382403898913
unconstrained,s_2,0.028414938981834136
unconstrained,s_10,0.0241567842411056
unconstrained,s_8,0.02210280109092426
unconstrained,s_13,0.0028976465895537403
unconstrained,s_15,0.00226874320543698
unconstrained,s_14,0.0012288138148561002
unconstrained,s_3,0.0
unconstrained,s_4,0.0
unconstrained,s_9,0.0
